Project,Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
acs-aem-commons,rev_ea120-72aa5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_3054f-3b7de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_cef32-b356f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_f150d-cc729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_cb5c9-6339d,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
blueprints,rev_55458-adcfc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_0fb7a-23e10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_b0bc7-409a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_07faf-3a18d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_e3f50-77a7f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_77a7f-e3f50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_91792-8b227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_01c39-3b407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_45910-fc494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_17955-57d5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_3afed-a0540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_6de4d-5378c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_8c2d8-a12cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_e976b-a12cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_866af-c7c21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_a1366-a9d14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
